author,rating,title,content,updated_date
kmar76,5,앱 사용 편리,앱 안에서 기능을 편리하게 신청 및 처리 가능해서 좋아요,2025-06-22T17:06:27-07:00
몽토리맘,5,외환 환전,최고,2025-06-22T14:16:40-07:00
용허니,5,국민에 국민에의한 국민을위한,국민은행! 스타뱅킹 편하고 안전해요,2025-06-22T04:03:34-07:00
유우미이야,5,어플이 빠릿빠릿하고 손쉬움 만족,어플이 빠릿빠릿하고 손쉬움 만족,2025-06-22T03:22:05-07:00
라따뚜이뚜이뚜이뚜이,5,좋아여,좋아요,2025-06-21T23:36:22-07:00
이체한도증액,4,사진,안심이 되요,2025-06-21T22:11:15-07:00
행운만 가득,5,제한풀기,완전 빨라요 최고 입니다 감사합니다,2025-06-21T20:05:30-07:00
기여여여여여여ㅕ이미밈,3,아쉬어여,어플이 쓰시블편한,2025-06-21T19:08:56-07:00
따룽맘,5,이체해지,이체해지관리하기가 편리합니다,2025-06-21T18:18:49-07:00
hhdkjdk,5,이용편리,웹사용이 편리합니다.,2025-06-21T17:15:50-07:00
1억 모아 ~,4,적금 들기,쉽게 가볍게 돈 모으기 할 수 있어서 좋네요~,2025-06-21T08:04:58-07:00
굿 캐쉬,4,예,감사,2025-06-21T07:07:29-07:00
늘시원,5,통장개설,신속한 통장개설처리 감사합니다,2025-06-20T19:00:57-07:00
멍뭉이귀여워,4,바뀐 디자인 불편해요,계좌 목록? 카드?의 영역이 줄어들고 이체 버튼이 작아져서 불편해요. 그리고 바뀐 하단바 디자인 다른 부분의 플랫한 디자인이랑 이질적으로 느껴져요.,2025-06-20T18:50:32-07:00
희동꼬미,5,통장개설,만들기 아주 쉬워서 좋군요,2025-06-20T06:10:55-07:00
플란제,5,안전을 확인 또 확인,안전이 최고입니다!,2025-06-20T05:11:13-07:00
띵샘,5,국민은행 스타뱅킹 편리해요,주거래은행이라서 국민은행 스타뱅킹 사용하는데 불편함없이 잘 사용중이에요! 오픈뱅킹도 되서 타은행 계좌도 다 조회되고 좋아요!!,2025-06-20T04:20:42-07:00
메룽메러엉,1,앱자체가너무느림,하 7년째개선이없음,2025-06-20T01:56:11-07:00
국민은혜,5,"친절과 공손함, 따뜻한 마음씨",고객 응대에 최선을 다하시는 모습이 정말 좋습니다.,2025-06-20T01:36:42-07:00
지구행성여행중,5,미사용계좌해제,ARS로 간편해서 해제했어요.,2025-06-20T01:11:47-07:00
jubilee2k,5,환전,"직원분, 청원경찰분 친절한 도움 감사합니다.",2025-06-19T23:48:24-07:00
darccyyyyyy,1,내통장 리스트,통장 리스트 어디서보는건데 대체????? 뭔 이딴 업데이트를 하고 난리,2025-06-19T23:31:31-07:00
ㅈㄴㅇㅅ,1,미친겨?,전체계좌 대신 상품 따위를 손으로 집기 가장 편한 위치에 배치해놔? 장사도 애지간하게 해야지 고객들 떨굴라고 작정을 했네.,2025-06-19T23:02:53-07:00
